@timestamp,@billedDuration,@duration,@maxMemoryUsed,@in
2021-11-25 16:45:50.800,41,40.34,202000000,
2021-11-25 16:45:52.000,73,72.29,202000000,
2021-11-25 16:45:53.120,59,58.46,202000000,
2021-11-25 16:45:54.222,33,32.02,202000000,
2021-11-25 16:45:55.341,48,47.43,202000000,
2021-11-25 16:45:56.460,59,58.61,202000000,
2021-11-25 16:45:57.560,28,27.42,202000000,
2021-11-25 16:45:58.663,32,31.63,202000000,
2021-11-25 16:45:59.780,49,48.07,202000000,
2021-11-25 16:46:00.883,28,27.22,202000000,
2021-11-25 16:46:01.982,28,27.31,202000000,
2021-11-25 16:46:03.083,32,31.78,202000000,
2021-11-25 16:46:04.201,45,44.78,202000000,
2021-11-25 16:46:05.302,40,39.3,202000000,
2021-11-25 16:46:06.421,48,47.34,202000000,
2021-11-25 16:46:07.540,44,43.95,202000000,
2021-11-25 16:46:08.642,28,27.27,202000000,
2021-11-25 16:46:09.763,44,43.38,202000000,
2021-11-25 16:46:10.888,53,52.39,202000000,
2021-11-25 16:46:12.003,44,43.83,202000000,
2021-11-25 16:46:13.123,43,42.61,202000000,
2021-11-25 16:46:14.222,36,35.32,202000000,
2021-11-25 16:46:15.340,47,46.71,202000000,
2021-11-25 16:46:16.460,47,46.95,202000000,
2021-11-25 16:46:17.540,36,35.48,202000000,
2021-11-25 16:46:18.642,40,39.55,202000000,
2021-11-25 16:46:19.760,56,55,202000000,
2021-11-25 16:46:20.861,48,47.79,202000000,
2021-11-25 16:46:21.962,32,31.3,202000000,
2021-11-25 16:46:23.064,34,33.2,202000000,
2021-11-25 16:46:24.163,32,31.29,202000000,
2021-11-25 16:46:25.280,45,44.2,202000000,
2021-11-25 16:46:26.362,38,37.29,202000000,
2021-11-25 16:46:27.480,51,50.41,202000000,
2021-11-25 16:46:28.583,40,39.55,202000000,
2021-11-25 16:46:29.703,44,43.8,202000000,
2021-11-25 16:46:30.823,44,43.4,202000000,
2021-11-25 16:46:31.940,45,44.4,202000000,
2021-11-25 16:46:33.043,32,31.35,202000000,
2021-11-25 16:46:34.160,47,46.19,202000000,
2021-11-25 16:46:35.260,45,44.05,202000000,
2021-11-25 16:46:36.442,77,76.03,202000000,
2021-11-25 16:46:37.560,55,54.23,202000000,
